,Date,Close,Pre_Day_Cls,Dif_Btw_Day,Per_Change,Volume
1,5/21/2012,34.03,38.23,-4.2,-10.99,168192700
2,5/22/2012,31,34.03,-3.03,-8.9,101786600
3,5/23/2012,32,31,1,3.23,73600000
4,5/24/2012,33.03,32,1.03,3.22,50237200
5,5/25/2012,31.91,33.03,-1.12,-3.39,37149800
6,5/29/2012,28.84,31.91,-3.07,-9.62,78063400
7,5/30/2012,28.19,28.84,-0.65,-2.25,57267900
8,5/31/2012,29.6,28.19,1.41,5,111639200
9,6/1/2012,27.72,29.6,-1.88,-6.35,41855500
10,6/4/2012,26.9,27.72,-0.82,-2.96,35230300
11,6/5/2012,25.87,26.9,-1.03,-3.83,42473400
12,6/6/2012,26.81,25.87,0.94,3.63,61489200
13,6/7/2012,26.31,26.81,-0.5,-1.86,26159500
14,6/8/2012,27.1,26.31,0.79,3,38034000
15,6/11/2012,27.01,27.1,-0.09,-0.33,28219600
16,6/12/2012,27.4,27.01,0.39,1.44,15816800
17,6/13/2012,27.27,27.4,-0.13,-0.47,17102800
18,6/14/2012,28.29,27.27,1.02,3.74,16855000
19,6/15/2012,30.01,28.29,1.72,6.08,43563800
20,6/18/2012,31.41,30.01,1.4,4.67,42978900
21,6/19/2012,31.91,31.41,0.5,1.59,30849000
22,6/20/2012,31.6,31.91,-0.31,-0.97,15553600
23,6/21/2012,31.84,31.6,0.24,0.76,21875300
24,6/22/2012,33.05,31.84,1.21,3.8,74834000
25,6/25/2012,32.06,33.05,-0.99,-3,24352900
26,6/26/2012,33.1,32.06,1.04,3.24,24858700
27,6/27/2012,32.23,33.1,-0.87,-2.63,28568000
28,6/28/2012,31.36,32.23,-0.87,-2.7,17713300
29,6/29/2012,31.1,31.36,-0.26,-0.83,19526900
30,7/2/2012,30.77,31.1,-0.33,-1.06,14122000
31,7/3/2012,31.2,30.77,0.43,1.4,8763600
32,7/5/2012,31.47,31.2,0.27,0.87,10032100
33,7/6/2012,31.73,31.47,0.26,0.83,10945600
34,7/9/2012,32.17,31.73,0.44,1.39,17785200
35,7/10/2012,31.47,32.17,-0.7,-2.18,14269500
36,7/11/2012,30.97,31.47,-0.5,-1.59,13030300
37,7/12/2012,30.81,30.97,-0.16,-0.52,11300700
38,7/13/2012,30.72,30.81,-0.09,-0.29,8108300
39,7/16/2012,28.25,30.72,-2.47,-8.04,24672100
40,7/17/2012,28.09,28.25,-0.16,-0.57,30438600
41,7/18/2012,29.11,28.09,1.02,3.63,16841800
42,7/19/2012,29,29.11,-0.11,-0.38,13685100
43,7/20/2012,28.76,29,-0.24,-0.83,11869100
44,7/23/2012,28.75,28.76,-0.01,-0.03,12390700
45,7/24/2012,28.45,28.75,-0.3,-1.04,11539800
46,7/25/2012,29.34,28.45,0.89,3.13,17230200
47,7/26/2012,26.85,29.34,-2.49,-8.49,64597400
48,7/27/2012,23.71,26.85,-3.14,-11.69,123102300
49,7/30/2012,23.15,23.71,-0.56,-2.36,29285900
50,7/31/2012,21.71,23.15,-1.44,-6.22,56179400
51,8/1/2012,20.88,21.71,-0.83,-3.82,44604400
52,8/2/2012,20.04,20.88,-0.84,-4.02,56374500
53,8/3/2012,21.09,20.04,1.05,5.24,80647000
54,8/6/2012,21.92,21.09,0.83,3.94,27778900
55,8/7/2012,20.72,21.92,-1.2,-5.47,36782900
56,8/8/2012,20.72,20.72,0,0,29537400
57,8/9/2012,21.01,20.72,0.29,1.4,15610700
58,8/10/2012,21.81,21.01,0.8,3.81,25794700
59,8/13/2012,21.6,21.81,-0.21,-0.96,24973100
60,8/14/2012,20.38,21.6,-1.22,-5.65,39308800
61,8/15/2012,21.2,20.38,0.82,4.02,47861100
62,8/16/2012,19.87,21.2,-1.33,-6.27,157565300
63,8/17/2012,19.05,19.87,-0.82,-4.13,129293400
64,8/20/2012,20.01,19.05,0.96,5.04,101186600
65,8/21/2012,19.16,20.01,-0.85,-4.25,70640600
66,8/22/2012,19.44,19.16,0.28,1.46,49892200
67,8/23/2012,19.44,19.44,0,0,32813700
68,8/24/2012,19.41,19.44,-0.03,-0.15,29622200
69,8/27/2012,19.15,19.41,-0.26,-1.34,20704000
70,8/28/2012,19.34,19.15,0.19,0.99,25417000
71,8/29/2012,19.1,19.34,-0.24,-1.24,16124700
72,8/30/2012,19.09,19.1,-0.01,-0.05,30647500
73,8/31/2012,18.06,19.09,-1.03,-5.4,58764200
74,9/4/2012,17.73,18.06,-0.33,-1.83,46622400
75,9/5/2012,18.58,17.73,0.85,4.79,60781800
76,9/6/2012,18.96,18.58,0.38,2.05,46066500
77,9/7/2012,18.98,18.96,0.02,0.11,36371700
78,9/10/2012,18.81,18.98,-0.17,-0.9,24797800
79,9/11/2012,19.43,18.81,0.62,3.3,50508200
80,9/12/2012,20.93,19.43,1.5,7.72,121584000
81,9/13/2012,20.71,20.93,-0.22,-1.05,65041600
82,9/14/2012,22,20.71,1.29,6.23,72819800
83,9/17/2012,21.52,22,-0.48,-2.18,50667600
84,9/18/2012,21.87,21.52,0.35,1.63,36760500
85,9/19/2012,23.29,21.87,1.42,6.49,78782800
86,9/20/2012,22.59,23.29,-0.7,-3.01,57248900
87,9/21/2012,22.86,22.59,0.27,1.2,51218100
88,9/24/2012,20.79,22.86,-2.07,-9.06,79106500
89,9/25/2012,20.28,20.79,-0.51,-2.45,46291700
90,9/26/2012,20.62,20.28,0.34,1.68,38271900
91,9/27/2012,20.32,20.62,-0.3,-1.45,30215900
92,9/28/2012,21.66,20.32,1.34,6.59,65486000
93,10/1/2012,21.99,21.66,0.33,1.52,51262700
94,10/2/2012,22.27,21.99,0.28,1.27,29341400
95,10/3/2012,21.83,22.27,-0.44,-1.98,32000100
96,10/4/2012,21.95,21.83,0.12,0.55,46892100
97,10/5/2012,20.91,21.95,-1.04,-4.74,40529300
98,10/8/2012,20.4,20.91,-0.51,-2.44,32236700
99,10/9/2012,20.23,20.4,-0.17,-0.83,27161800
100,10/10/2012,19.64,20.23,-0.59,-2.92,39321800
101,10/11/2012,19.75,19.64,0.11,0.56,21817300
102,10/12/2012,19.52,19.75,-0.23,-1.16,18809400
103,10/15/2012,19.52,19.52,0,0,20189700
104,10/16/2012,19.48,19.52,-0.04,-0.2,21834700
105,10/17/2012,19.88,19.48,0.4,2.05,44074500
106,10/18/2012,18.98,19.88,-0.9,-4.53,52157400
107,10/19/2012,19,18.98,0.02,0.11,34835000
108,10/22/2012,19.32,19,0.32,1.68,32447300
109,10/23/2012,19.5,19.32,0.18,0.93,78381200
110,10/24/2012,23.23,19.5,3.73,19.13,228949900
111,10/25/2012,22.56,23.23,-0.67,-2.88,76142000
112,10/26/2012,21.94,22.56,-0.62,-2.75,73175800
113,10/31/2012,21.11,21.94,-0.83,-3.78,99378200
114,11/1/2012,21.21,21.11,0.1,0.47,37713900
115,11/2/2012,21.18,21.21,-0.03,-0.14,38344400
116,11/5/2012,21.25,21.18,0.07,0.33,31806700
117,11/6/2012,21.17,21.25,-0.08,-0.38,29062700
118,11/7/2012,20.47,21.17,-0.7,-3.31,33396800
119,11/8/2012,19.99,20.47,-0.48,-2.34,34254600
120,11/9/2012,19.21,19.99,-0.78,-3.9,42295500
121,11/12/2012,20.07,19.21,0.86,4.48,67349200
122,11/13/2012,19.86,20.07,-0.21,-1.05,71775100
123,11/14/2012,22.36,19.86,2.5,12.59,229751000
124,11/15/2012,22.17,22.36,-0.19,-0.85,78857700
125,11/16/2012,23.56,22.17,1.39,6.27,107182200
126,11/19/2012,22.92,23.56,-0.64,-2.72,85021300
127,11/20/2012,23.1,22.92,0.18,0.79,46655300
128,11/21/2012,24.32,23.1,1.22,5.28,89862400
129,11/23/2012,24,24.32,-0.32,-1.32,29520900
130,11/26/2012,25.94,24,1.94,8.08,123865000
131,11/27/2012,26.15,25.94,0.21,0.81,85760600
132,11/28/2012,26.36,26.15,0.21,0.8,49205600
133,11/29/2012,27.32,26.36,0.96,3.64,88759700
134,11/30/2012,28,27.32,0.68,2.49,127049600
135,12/3/2012,27.04,28,-0.96,-3.43,123526100
136,12/4/2012,27.46,27.04,0.42,1.55,72869200
137,12/5/2012,27.71,27.46,0.25,0.91,58976300
138,12/6/2012,26.97,27.71,-0.74,-2.67,46001500
139,12/7/2012,27.49,26.97,0.52,1.93,51751900
140,12/10/2012,27.84,27.49,0.35,1.27,50608500
141,12/11/2012,27.98,27.84,0.14,0.5,77099100
142,12/12/2012,27.58,27.98,-0.4,-1.43,46704200
143,12/13/2012,28.24,27.58,0.66,2.39,81051600
144,12/14/2012,26.81,28.24,-1.43,-5.06,91631600
145,12/17/2012,26.75,26.81,-0.06,-0.22,57742500
146,12/18/2012,27.71,26.75,0.96,3.59,60512900
147,12/19/2012,27.41,27.71,-0.3,-1.08,61390300
148,12/20/2012,27.36,27.41,-0.05,-0.18,35574800
149,12/21/2012,26.26,27.36,-1.1,-4.02,54555200
150,12/24/2012,26.93,26.26,0.67,2.55,28230100
151,12/26/2012,26.51,26.93,-0.42,-1.56,33175400
152,12/27/2012,26.05,26.51,-0.46,-1.74,43481700
