,Date,Close,Pre_Day_Cls,Dif_Btw_Day,Per_Change,Volume
1,1/4/2012,332.89,331.46,1.43,0.43,5749400
2,1/5/2012,328.27,332.89,-4.62,-1.39,6590300
3,1/6/2012,323.8,328.27,-4.47,-1.36,5405900
4,1/9/2012,310.07,323.8,-13.73,-4.24,11688800
5,1/10/2012,310.41,310.07,0.34,0.11,8824000
6,1/11/2012,311.81,310.41,1.4,0.45,4817800
7,1/12/2012,313.64,311.81,1.83,0.59,3764400
8,1/13/2012,311.33,313.64,-2.31,-0.74,4631800
9,1/17/2012,313.12,311.33,1.79,0.57,3832800
10,1/18/2012,315.27,313.12,2.15,0.69,5544000
11,1/19/2012,318.59,315.27,3.32,1.05,12657800
12,1/20/2012,291.9,318.59,-26.69,-8.38,21231800
13,1/23/2012,291.67,291.9,-0.23,-0.08,6851300
14,1/24/2012,289.38,291.67,-2.29,-0.79,6134400
15,1/25/2012,283.68,289.38,-5.7,-1.97,10012700
16,1/26/2012,282.99,283.68,-0.69,-0.24,6476500
17,1/27/2012,288.91,282.99,5.92,2.09,7262000
18,1/30/2012,287.77,288.91,-1.14,-0.39,4678400
19,1/31/2012,288.97,287.77,1.2,0.42,4300700
20,2/1/2012,289.33,288.97,0.36,0.12,4658700
21,2/2/2012,291.46,289.33,2.13,0.74,4847400
22,2/3/2012,297.05,291.46,5.59,1.92,6360700
23,2/6/2012,303.41,297.05,6.36,2.14,7386700
24,2/7/2012,302.25,303.41,-1.16,-0.38,4199700
25,2/8/2012,303.79,302.25,1.54,0.51,3686400
26,2/9/2012,304.59,303.79,0.8,0.26,4546300
27,2/10/2012,301.82,304.59,-2.77,-0.91,4667700
28,2/13/2012,304.96,301.82,3.14,1.04,3646100
29,2/14/2012,303.74,304.96,-1.22,-0.4,3620900
30,2/15/2012,301.65,303.74,-2.09,-0.69,4869900
31,2/16/2012,302.13,301.65,0.48,0.16,5080700
32,2/17/2012,301.19,302.13,-0.94,-0.31,4916400
33,2/21/2012,305.85,301.19,4.66,1.55,4980100
34,2/22/2012,302.83,305.85,-3.02,-0.99,3948700
35,2/23/2012,301.92,302.83,-0.91,-0.3,4125300
36,2/24/2012,303.81,301.92,1.89,0.63,3885600
37,2/27/2012,303.52,303.81,-0.29,-0.1,3641300
38,2/28/2012,308.04,303.52,4.52,1.49,5716400
39,2/29/2012,307.97,308.04,-0.07,-0.02,6297200
40,3/1/2012,310.04,307.97,2.07,0.67,4492000
41,3/2/2012,309.47,310.04,-0.57,-0.18,3158300
42,3/5/2012,305.98,309.47,-3.49,-1.13,3198400
43,3/6/2012,301.35,305.98,-4.63,-1.51,6372500
44,3/7/2012,302.27,301.35,0.92,0.31,2538400
45,3/8/2012,302.44,302.27,0.17,0.06,2700900
46,3/9/2012,299,302.44,-3.44,-1.14,5361100
47,3/12/2012,301.45,299,2.45,0.82,3350400
48,3/13/2012,307.74,301.45,6.29,2.09,4508300
49,3/14/2012,306.84,307.74,-0.9,-0.29,5895700
50,3/15/2012,309.41,306.84,2.57,0.84,4888300
51,3/16/2012,311.35,309.41,1.94,0.63,6123800
52,3/19/2012,315.81,311.35,4.46,1.43,4361800
53,3/20/2012,315.56,315.81,-0.25,-0.08,3092400
54,3/21/2012,318.8,315.56,3.24,1.03,4957600
55,3/22/2012,321.82,318.8,3.02,0.95,4838400
56,3/23/2012,320.1,321.82,-1.72,-0.53,3894800
57,3/26/2012,323.45,320.1,3.35,1.05,3651900
58,3/27/2012,322.3,323.45,-1.15,-0.36,4029400
59,3/28/2012,326.66,322.3,4.36,1.35,5096700
60,3/29/2012,322.99,326.66,-3.67,-1.12,3862900
61,3/30/2012,319.42,322.99,-3.57,-1.11,4638700
62,4/2/2012,322.25,319.42,2.83,0.89,4585400
63,4/3/2012,320.11,322.25,-2.14,-0.66,4105000
64,4/4/2012,316.39,320.11,-3.72,-1.16,3267300
65,4/5/2012,314.98,316.39,-1.41,-0.45,4654700
66,4/9/2012,314.24,314.98,-0.74,-0.23,4381600
67,4/10/2012,312.26,314.24,-1.98,-0.63,4982500
68,4/11/2012,316.79,312.26,4.53,1.45,4414300
69,4/12/2012,324.29,316.79,7.5,2.37,11556300
70,4/13/2012,311.13,324.29,-13.16,-4.06,16379700
71,4/16/2012,301.9,311.13,-9.23,-2.97,11426700
72,4/17/2012,303.65,301.9,1.75,0.58,6070400
73,4/18/2012,302.59,303.65,-1.06,-0.35,5358900
74,4/19/2012,298.53,302.59,-4.06,-1.34,6613800
75,4/20/2012,296.92,298.53,-1.61,-0.54,6139700
76,4/23/2012,297.68,296.92,0.76,0.26,4411900
77,4/24/2012,299.51,297.68,1.83,0.61,3872600
78,4/25/2012,303.72,299.51,4.21,1.41,3655800
79,4/26/2012,306.59,303.72,2.87,0.94,4200600
80,4/27/2012,306.34,306.59,-0.25,-0.08,3284900
81,4/30/2012,301.3,306.34,-5.04,-1.65,4832600
82,5/1/2012,301.09,301.3,-0.21,-0.07,4019600
83,5/2/2012,302.5,301.09,1.41,0.47,3235000
84,5/3/2012,304.37,302.5,1.87,0.62,3749900
85,5/4/2012,297.37,304.37,-7,-2.3,4431300
86,5/7/2012,302.64,297.37,5.27,1.77,4003800
87,5/8/2012,305.25,302.64,2.61,0.86,5374600
88,5/9/2012,303.44,305.25,-1.81,-0.59,4675000
89,5/10/2012,305.68,303.44,2.24,0.74,3083200
90,5/11/2012,301.48,305.68,-4.2,-1.37,4214400
91,5/14/2012,300.87,301.48,-0.61,-0.2,3662400
92,5/15/2012,304.41,300.87,3.54,1.18,4219900
93,5/16/2012,313.29,304.41,8.88,2.92,9706300
94,5/17/2012,310.36,313.29,-2.93,-0.94,6732700
95,5/18/2012,299.08,310.36,-11.28,-3.63,11991700
96,5/21/2012,305.91,299.08,6.83,2.28,6173800
97,5/22/2012,299.28,305.91,-6.63,-2.17,6126600
98,5/23/2012,303.59,299.28,4.31,1.44,6379900
99,5/24/2012,300.7,303.59,-2.89,-0.95,3796600
100,5/25/2012,294.66,300.7,-6.04,-2.01,7190500
101,5/29/2012,296.06,294.66,1.4,0.48,5230900
102,5/30/2012,293.02,296.06,-3.04,-1.03,3827600
103,5/31/2012,289.35,293.02,-3.67,-1.25,5958800
104,6/1/2012,284.42,289.35,-4.93,-1.7,6138700
105,6/4/2012,288.21,284.42,3.79,1.33,4883500
106,6/5/2012,284.14,288.21,-4.07,-1.41,4697200
107,6/6/2012,289.2,284.14,5.06,1.78,4207200
108,6/7/2012,288.04,289.2,-1.16,-0.4,3530100
109,6/8/2012,289.14,288.04,1.1,0.38,2831300
110,6/11/2012,283.19,289.14,-5.95,-2.06,5342100
111,6/12/2012,281.49,283.19,-1.7,-0.6,6472500
112,6/13/2012,279.5,281.49,-1.99,-0.71,3923000
113,6/14/2012,278.48,279.5,-1.02,-0.36,4707200
114,6/15/2012,281.2,278.48,2.72,0.98,6024800
115,6/18/2012,284.36,281.2,3.16,1.12,5012400
116,6/19/2012,289.68,284.36,5.32,1.87,4167900
117,6/20/2012,287.68,289.68,-2,-0.69,4710800
118,6/21/2012,281.55,287.68,-6.13,-2.13,4037600
119,6/22/2012,284.67,281.55,3.12,1.11,4472400
120,6/25/2012,279.3,284.67,-5.37,-1.89,3174900
121,6/26/2012,281.29,279.3,1.99,0.71,2710500
122,6/27/2012,283.59,281.29,2.3,0.82,3397200
123,6/28/2012,281.1,283.59,-2.49,-0.88,3856100
124,6/29/2012,288.95,281.1,7.85,2.79,5057800
125,7/2/2012,289.15,288.95,0.2,0.07,3323300
126,7/3/2012,292.82,289.15,3.67,1.27,2387800
127,7/5/2012,296.85,292.82,4.03,1.38,4709200
128,7/6/2012,291.9,296.85,-4.95,-1.67,4339700
129,7/9/2012,291.91,291.9,0.01,0,3443000
130,7/10/2012,289.76,291.91,-2.15,-0.74,3860500
131,7/11/2012,284.53,289.76,-5.23,-1.8,7024700
132,7/12/2012,284.17,284.53,-0.36,-0.13,4636800
133,7/13/2012,287.18,284.17,3.01,1.06,3966700
134,7/16/2012,286.39,287.18,-0.79,-0.28,2936100
135,7/17/2012,287.29,286.39,0.9,0.31,3372700
136,7/18/2012,289.3,287.29,2.01,0.7,3107900
137,7/19/2012,295.42,289.3,6.12,2.12,9384300
138,7/20/2012,304.27,295.42,8.85,3,12975800
139,7/23/2012,306.61,304.27,2.34,0.77,7150000
140,7/24/2012,302.65,306.61,-3.96,-1.29,4033800
141,7/25/2012,302.86,302.65,0.21,0.07,3659600
142,7/26/2012,305.53,302.86,2.67,0.88,3382900
143,7/27/2012,316.29,305.53,10.76,3.52,7125900
144,7/30/2012,314.97,316.29,-1.32,-0.42,4389700
145,7/31/2012,315.3,314.97,0.33,0.1,3745100
146,8/1/2012,315.16,315.3,-0.14,-0.04,3702900
147,8/2/2012,313.2,315.16,-1.96,-0.62,3970100
148,8/3/2012,319.47,313.2,6.27,2,3808300
149,8/6/2012,320.21,319.47,0.74,0.23,3578000
150,8/7/2012,319.07,320.21,-1.14,-0.36,3978300
151,8/8/2012,319.92,319.07,0.85,0.27,2654200
152,8/9/2012,319.98,319.92,0.06,0.02,2148500
153,8/10/2012,319.8,319.98,-0.18,-0.06,2879800
154,8/13/2012,328.77,319.8,8.97,2.8,6560200
155,8/14/2012,333.08,328.77,4.31,1.31,7350800
156,8/15/2012,332.52,333.08,-0.56,-0.17,4839400
157,8/16/2012,335.18,332.52,2.66,0.8,3448200
158,8/17/2012,337.31,335.18,2.13,0.64,4371600
159,8/20/2012,336.51,337.31,-0.8,-0.24,3529300
160,8/21/2012,333.5,336.51,-3.01,-0.89,4461000
161,8/22/2012,337.33,333.5,3.83,1.15,3832600
162,8/23/2012,337.14,337.33,-0.19,-0.06,3581700
163,8/24/2012,338.05,337.14,0.91,0.27,2863800
164,8/27/2012,333.36,338.05,-4.69,-1.39,5246900
165,8/28/2012,337.36,333.36,4,1.2,4132600
166,8/29/2012,342.72,337.36,5.36,1.59,6002900
167,8/30/2012,339.57,342.72,-3.15,-0.92,3265900
